,index,address,zip_code,price,bed,bath,sqr_footage,property_link
65,65,4024 W 16th Ave,V6R 3E1,"$2,399,000",5 beds,2.5 baths,"2,357 ",https://www.redfin.com/bc/vancouver/4024-W-16th-Ave-V6R-3E1/home/155184394
66,66,4634 W 2nd Ave,V6R 1L1,"$8,880,000",5 beds,3.5 baths,"4,666 ",https://www.redfin.com/bc/vancouver/4634-W-2nd-Ave-V6R-1L1/home/155297408
67,67,4278 W 12th Ave,V6R 2P7,"$3,880,000",4 beds,3 baths,"2,465 ",https://www.redfin.com/bc/vancouver/4278-W-12th-Ave-V6R-2P7/home/155324624
68,68,4479 W 10th Ave #202,V6R 2H8,"$628,000",1 bed,1 bath,634 ,https://www.redfin.com/bc/vancouver/4479-W-10th-Ave-V6R-2H8/unit-202/home/155151744
69,69,4203 W 14th Ave,V6R 2X7,"$3,980,000",5 beds,5.5 baths,"3,299 ",https://www.redfin.com/bc/vancouver/4203-W-14th-Ave-V6R-2X7/home/155221726
70,70,3039 Courtenay St,V6R 3X8,"$3,950,000",4 beds,2.5 baths,"2,449 ",https://www.redfin.com/bc/vancouver/3039-Courtenay-St-V6R-3X8/home/155293331
71,71,3075 Courtenay St,V6R 3X8,"$2,538,000",3 beds,3.5 baths,"1,714 ",https://www.redfin.com/bc/vancouver/3075-Courtenay-St-V6R-3X8/home/155240751
72,72,4346 Locarno Cres,V6R 1G3,"$10,880,000",6 beds,7.5 baths,"3,603 ",https://www.redfin.com/bc/vancouver/4346-Locarno-Cres-V6R-1G3/home/155248676
73,73,4633 W 11th Ave,V6R 2M6,"$2,990,000",5 beds,3 baths,"2,521 ",https://www.redfin.com/bc/vancouver/4633-W-11th-Ave-V6R-2M6/home/155339890
74,74,4072 W 11th Ave,V6R 2L3,"$4,780,000",7 beds,5.5 baths,"4,695 ",https://www.redfin.com/bc/vancouver/4072-W-11th-Ave-V6R-2L3/home/155249338
75,75,4528 Langara Ave,V6R 1C8,"$9,980,000",5 beds,4.5 baths,"4,361 ",https://www.redfin.com/bc/vancouver/4528-Langara-Ave-V6R-1C8/home/155292966
76,76,4375 W 10th Ave #403,V6R 2H6,"$988,000",1 bed,1 bath,815 ,https://www.redfin.com/bc/vancouver/4375-W-10th-Ave-V6R-2H6/unit-403/home/155165261
77,77,4509 W 8th Ave,V6R 2A4,"$3,699,000",5 beds,3.5 baths,"2,757 ",https://www.redfin.com/bc/vancouver/4509-W-8th-Ave-V6R-2A4/home/155343830
78,78,4146 W 14th Ave,V6R 2X5,"$3,549,900",4 beds,4.5 baths,"2,452 ",https://www.redfin.com/bc/vancouver/4146-W-14th-Ave-V6R-2X5/home/155223176
79,79,4533 W 8th Ave,V6R 2A4,"$2,695,000",6 beds,2 baths,"2,702 ",https://www.redfin.com/bc/vancouver/4533-W-8th-Ave-V6R-2A4/home/155299264
80,80,4350 Locarno Cres,V6R 1G3,"$7,280,000",3 beds,4.5 baths,"3,712 ",https://www.redfin.com/bc/vancouver/4350-Locarno-Cres-V6R-1G3/home/155333815
81,81,4389 Locarno Cres,V6R 1G2,"$3,889,000",5 beds,4.5 baths,"3,503 ",https://www.redfin.com/bc/vancouver/4389-Locarno-Cres-V6R-1G2/home/155199438
82,82,4633 W 7th Ave,V6R 1X4,"$3,599,000",3 beds,4 baths,"2,502 ",https://www.redfin.com/bc/vancouver/4633-W-7th-Ave-V6R-1X5/home/155243417
83,83,4650 W 2nd Ave,V6R 1L1,"$5,998,000",3 beds,3.5 baths,"3,954 ",https://www.redfin.com/bc/vancouver/4650-W-2nd-Ave-V6R-1L1/home/155197813
84,84,4255 W 15th Ave,V6R 3A7,"$4,780,000",6 beds,4.5 baths,"3,673 ",https://www.redfin.com/bc/vancouver/4255-W-15th-Ave-V6R-3A7/home/155341390
85,85,4423 W 16th Ave #1,V6R 3E7,"$2,078,000",3 beds,3.5 baths,"1,570 ",https://www.redfin.com/bc/vancouver/4423-W-16th-Ave-V6R-3E7/unit-1/home/191496275
86,86,4423 W 16th Ave #2,V6R 3E7,"$2,168,000",3 beds,3.5 baths,"1,620 ",https://www.redfin.com/bc/vancouver/4423-W-16th-Ave-V6R-3E7/unit-2/home/191006728
87,87,4387 W 10th Ave #401,V6R 2H6,"$2,299,900",2 beds,2.5 baths,"1,675 ",https://www.redfin.com/bc/vancouver/4387-W-10th-Ave-V6R-2H6/unit-401/home/155258009
88,88,4580 W 1st Ave,V6R 1H8,"$4,288,000",5 beds,2.5 baths,"2,531 ",https://www.redfin.com/bc/vancouver/4580-W-1st-Ave-V6R-1H8/home/155225663
89,89,4343 W 11th Ave,V6R 2L9,"$2,888,000",5 beds,3 baths,"2,279 ",https://www.redfin.com/bc/vancouver/4343-W-11th-Ave-V6R-2L9/home/155225057
90,90,4687 W 15th Ave,V6R 3B5,"$2,550,000",3 beds,3.5 baths,"1,537 ",https://www.redfin.com/bc/vancouver/4687-W-15th-Ave-V6R-3B5/home/155311823
91,91,4838 Belmont Ave,V6T 1A9,"$49,800,000",5 beds,6.5 baths,"12,410 ",https://www.redfin.com/bc/vancouver/4838-Belmont-Ave-V6T-1A8/home/155787566
92,92,4190 W 11th Ave,V6R 2L6,"$2,899,000",4 beds,3 baths,"2,936 ",https://www.redfin.com/bc/vancouver/4190-W-11th-Ave-V6R-2L6/home/155305335
93,93,4530 W 11th Ave,V6R 2M4,"$2,990,000",7 beds,3 baths,"2,382 ",https://www.redfin.com/bc/vancouver/4530-W-11th-Ave-V6R-2M4/home/155334478
94,94,4437 W 13th Ave,V6R 2V2,"$5,380,000",5 beds,5.5 baths,"3,531 ",https://www.redfin.com/bc/vancouver/4437-W-13th-Ave-V6R-2V2/home/155202296
95,95,4333 Locarno Cres,V6R 1G2,"$4,680,000",5 beds,4.5 baths,"3,118 ",https://www.redfin.com/bc/vancouver/4333-Locarno-Cres-V6R-1G2/home/155249501
96,96,4755 W 7th Ave,V6T 1C7,"$3,798,000",4 beds,3 baths,"2,972 ",https://www.redfin.com/bc/greater-vancouver-regional-district/4755-W-7th-Ave-V6T-1C7/home/155822330
97,97,4651 W 16th Ave,V6R 3E9,"$3,399,000",7 beds,3.5 baths,"3,239 ",https://www.redfin.com/bc/vancouver/4651-W-16th-Ave-V6R-3E9/home/155207451
98,98,4517 W 4th Ave,V6R 1R4,"$6,499,000",4 beds,4 baths,"1,683 ",https://www.redfin.com/bc/vancouver/4517-W-4th-Ave-V6R-1R4/home/155197922
