,address,zip_code,price,bed,bath,sqr_footage,property_link
54,2225 W 16th Ave,V6K 3B4,"$1,399,900",3 beds,2.5 baths,"1,177 ",https://www.redfin.com/bc/vancouver/2225-W-16th-Ave-V6K-3B4/home/155991983
55,1777 W 7th Ave #121,V6J 0E5,"$769,000",1 bed,1 bath,579 ,https://www.redfin.com/bc/vancouver/1777-W-7th-Ave-V6J-0E5/unit-121/home/168566765
56,2738 Cranberry Dr,V6K 4T9,"$1,188,000",2 beds,2 baths,"1,008 ",https://www.redfin.com/bc/vancouver/2738-Cranberry-Dr-V6K-4T9/home/155675171
57,1916 W 11th Ave,V6J 2C6,"$2,258,000",3 beds,2 baths,"1,737 ",https://www.redfin.com/bc/vancouver/1916-W-11th-Ave-V6J-2C6/home/155382184
58,2799 Yew St #107,V6K 4W2,"$799,999",2 beds,1 bath,833 ,https://www.redfin.com/bc/vancouver/2799-Yew-St-V6K-4W2/unit-107/home/155874876
59,3083 Burrard St,V6J 4T8,"$1,199,000",2 beds,2.5 baths,"1,064 ",https://www.redfin.com/bc/vancouver/3083-Burrard-St-V6J-4T8/home/155546704
60,2770 Burrard St #108,V6J 3J8,"$699,900",1 bed,1 bath,798 ,https://www.redfin.com/bc/vancouver/2770-Burrard-St-V6J-3J8/unit-108/home/155350288
61,2118 W 15th Ave #208,V6K 2Y5,"$949,900",1 bed,1 bath,678 ,https://www.redfin.com/bc/vancouver/2118-W-15th-Ave-V6J-3Z3/unit-208/home/168472636
62,1865 W 12th Ave,V6J 2E7,"$3,999,000",9 beds,8 baths,"5,354 ",https://www.redfin.com/bc/vancouver/1865-W-12th-Ave-V6J-2E7/home/155538176
63,2687 Maple St #401,V6J 3T7,"$2,835,000",3 beds,2.5 baths,"1,882 ",https://www.redfin.com/bc/vancouver/2687-Maple-St-V6J-3T7/unit-401/home/164415689
64,2565 Maple St #309,V6J 0C8,"$1,988,000",3 beds,3 baths,"1,579 ",https://www.redfin.com/bc/vancouver/2565-Maple-St-V6J-1Z4/unit-309/home/168458607
65,1777 W 7th Ave #524,V6J 0E5,"$798,000",1 bed,1 bath,630 ,https://www.redfin.com/bc/vancouver/1777-W-7th-Ave-V6J-0E5/unit-524/home/168567488
66,1683 W 8th Ave,V6J 1T8,"$1,629,900",3 beds,2 baths,"1,283 ",https://www.redfin.com/bc/vancouver/1683-W-8th-Ave-V6J-1T8/home/155392328
67,2888 Arbutus St #1,V6J 3Y7,"$2,064,900",0 beds,1 bath,"1,147 ",https://www.redfin.com/bc/vancouver/2888-Arbutus-St-V6J-3Y7/unit-1/home/193701883
68,2888 Arbutus St #2,V6J 3Y7,"$5,990,000",0 beds,1 bath,"3,337 ",https://www.redfin.com/bc/vancouver/2888-Arbutus-St-V6J-3Y7/unit-2/home/193700799
69,1830 W 11th Ave,V6J 2C5,"$1,250,000",2 beds,2 baths,"1,148 ",https://www.redfin.com/bc/vancouver/1830-W-11th-Ave-V6J-2C5/home/155534401
70,2117 West 15TH Ave #2115,V6K 2Y4,"$3,580,000",5 beds,4 baths,"2,810 ",https://www.redfin.com/bc/vancouver/2117-W-15th-Ave-V6K-2Y4/unit-2115/home/169458533
71,2115-2117 W 15th Ave,V6K 2Y4,"$3,580,000",5 beds,4 baths,"2,810 ",https://www.redfin.com/bc/vancouver/2117-W-15th-Ave-V6K-2Y4/home/155945884
72,1788 W 13th Ave #1000,V6J 2H1,"$2,488,000",3 beds,2.5 baths,"1,807 ",https://www.redfin.com/bc/vancouver/1788-W-13th-Ave-V6J-2H1/unit-1000/home/155424052
73,3075 Arbutus St,V7E 1J7,"$2,880,000",— beds,— baths,— ,https://www.redfin.com/bc/vancouver/3075-Arbutus-St-V6J-3Z2/home/155391072
74,2028 W 11th Ave #402,V6J 2C9,"$649,000",1 bed,1 bath,590 ,https://www.redfin.com/bc/vancouver/2028-W-11th-Ave-V6J-2C9/unit-402/home/155298347
75,2323 Fir St #302,V6J 5J9,"$871,900",1 bed,1 bath,498 ,https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-302/home/190145821
76,2070 W 14th Ave,V6J 2K4,"$3,880,000",8 beds,4 baths,"4,079 ",https://www.redfin.com/bc/vancouver/2070-W-14th-Ave-V6J-2K4/home/155380657
77,2799 Yew St #702,V6K 4W2,"$1,529,000",1 bed,2 baths,"1,286 ",https://www.redfin.com/bc/vancouver/2799-Yew-St-V6K-4W2/unit-702/home/155583853
78,2063 W 10th Ave,V6J 0H1,"$1,489,000",2 beds,2.5 baths,"1,254 ",https://www.redfin.com/bc/vancouver/2063-W-10th-Ave-V6J-1Z4/home/168458498
79,1880 W 6th Ave #411,V6J 1R6,"$1,149,000",2 beds,1.5 baths,"1,174 ",https://www.redfin.com/bc/vancouver/1880-W-6th-Ave-V6J/unit-411/home/155508198
80,2330 Maple St #208,V6J 3T6,"$535,000",1 bed,1 bath,536 ,https://www.redfin.com/bc/vancouver/2330-Maple-St-V6J-3T6/unit-208/home/155436535
81,2161 W 12th Ave #202,V6K 4S7,"$999,900",2 beds,2 baths,903 ,https://www.redfin.com/bc/vancouver/2161-W-12th-Ave-V6K-4S7/unit-202/home/155709227
82,1777 W 13th Ave #310,V6J 2H2,"$948,800",2 beds,1.5 baths,"1,122 ",https://www.redfin.com/bc/vancouver/1777-W-13th-Ave-V6J-2H2/unit-310/home/168575720
83,1595 W 14 Ave #201,V6J 2J1,"$950,000",2 beds,1.5 baths,"1,136 ",https://www.redfin.com/bc/vancouver/1595-W-14th-Ave-V6J-2J1/unit-201/home/155357305
84,1956 W 5th Ave,V6J 1P7,"$1,698,000",3 beds,3 baths,"1,339 ",https://www.redfin.com/bc/vancouver/1956-W-5th-Ave-V6J-1P7/home/155446247
85,1990 W 6th Ave #112,V6J 4V4,"$649,000",1 bed,1 bath,732 ,https://www.redfin.com/bc/vancouver/1990-W-6th-Ave-V6J-4V4/unit-112/home/155328486
86,1937 W 12th Ave,V6J 2G1,"$899,000",2 beds,1.5 baths,"1,148 ",https://www.redfin.com/bc/vancouver/1937-W-12th-Ave-V6J-2G1/home/155391511
87,2228 W Broadway #703,V6K 0B1,"$799,800",1 bed,1 bath,663 ,https://www.redfin.com/bc/vancouver/2228-W-Broadway-V6K-0B1/unit-703/home/155934596
88,1720 W 12th Ave #204,V6J 2E6,"$1,069,000",3 beds,1.5 baths,"1,177 ",https://www.redfin.com/bc/vancouver/1720-W-12th-Ave-V6J-2E6/unit-204/home/155434925
89,2228 W Broadway #710,V6K 0B1,"$720,000",1 bed,1 bath,586 ,https://www.redfin.com/bc/vancouver/2228-W-Broadway-V6K-0B1/unit-710/home/155934757
90,2065 W 12th Ave #302,V6J 5L9,"$1,099,000",2 beds,2 baths,"1,098 ",https://www.redfin.com/bc/vancouver/2065-W-12th-Ave-V6J-5L9/unit-302/home/155317602
91,2268 W Broadway #516,V6K 0B2,"$775,000",1 bed,1 bath,668 ,https://www.redfin.com/bc/vancouver/2268-W-Broadway-V6K-0B1/unit-516/home/155581269
92,2020 W 8th Ave #107,V6J 1W5,"$879,000",2 beds,2 baths,860 ,https://www.redfin.com/bc/vancouver/2020-W-8th-Ave-V6J-1W5/unit-107/home/155337469
